,name,Rank,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,firstReleaseDate,topCriticScore
676,Super Smash Bros. Ultimate,19,01,2019,9942131,200867,91878,690,22367,13381,270,49.5,2018-12-07,92
677,Super Smash Bros. Ultimate,17,02,2019,7933050,116308,168665,462,14256,11822,173,68.21,2018-12-07,92
678,Super Smash Bros. Ultimate,25,03,2019,5628744,116735,77985,439,13048,7575,157,48.22,2018-12-07,92
679,Super Smash Bros. Ultimate,29,04,2019,4485192,107443,64983,771,13277,6238,149,41.74,2018-12-07,92
680,Super Smash Bros. Ultimate,36,05,2019,3240713,88336,47739,298,10529,4361,118,36.69,2018-12-07,92
681,Super Smash Bros. Ultimate,37,06,2019,3194698,86232,68873,295,10647,4443,119,37.05,2018-12-07,92
682,Super Smash Bros. Ultimate,38,07,2019,3097307,83973,51242,799,10431,4168,113,36.88,2018-12-07,92
683,Super Smash Bros. Ultimate,21,08,2019,5448489,86520,271926,383,10774,7333,116,62.97,2018-12-07,92
684,Super Smash Bros. Ultimate,33,09,2019,3829217,85212,47102,755,11081,5325,118,44.94,2018-12-07,92
685,Super Smash Bros. Ultimate,29,10,2019,4104082,79426,53340,281,9049,5523,106,51.67,2018-12-07,92
686,Super Smash Bros. Ultimate,42,11,2019,2833532,84168,62859,580,10664,3940,117,33.67,2018-12-07,92
687,Super Smash Bros. Ultimate,46,12,2019,2553222,75151,52875,258,9267,3436,101,33.97,2018-12-07,92
688,Super Smash Bros. Ultimate,28,01,2020,4948523,100384,116071,996,12179,6660,135,49.3,2018-12-07,92
689,Super Smash Bros. Ultimate,35,02,2020,3881729,94803,115046,403,11241,5585,136,40.95,2018-12-07,92
690,Super Smash Bros. Ultimate,45,03,2020,3068824,104674,40498,358,12335,4130,140,29.32,2018-12-07,92
691,Super Smash Bros. Ultimate,54,04,2020,3010574,118731,32451,403,11239,4187,165,25.36,2018-12-07,92
692,Super Smash Bros. Ultimate,51,05,2020,3519278,132921,38697,430,12123,4736,178,26.48,2018-12-07,92
693,Super Smash Bros. Ultimate,53,06,2020,2923933,130253,84802,1627,12885,4066,181,22.45,2018-12-07,92
694,Super Smash Bros. Ultimate,66,07,2020,2583270,136117,14704,532,13564,3476,183,18.98,2018-12-07,92
695,Super Smash Bros. Ultimate,68,08,2020,2320319,128417,17072,440,12453,3122,172,18.07,2018-12-07,92
696,Super Smash Bros. Ultimate,80,09,2020,1793382,110907,33496,417,11649,2494,154,16.17,2018-12-07,92
697,Super Smash Bros. Ultimate,70,10,2020,2565729,135074,61183,2165,15301,3453,181,18.99,2018-12-07,92
698,Super Smash Bros. Ultimate,76,11,2020,2160860,114804,65023,439,12154,3005,159,18.82,2018-12-07,92
699,Super Smash Bros. Ultimate,65,12,2020,2999020,144718,107534,1459,16888,4036,194,20.72,2018-12-07,92
700,Super Smash Bros. Ultimate,82,01,2021,2380637,148042,25340,518,16204,3204,199,16.08,2018-12-07,92
701,Super Smash Bros. Ultimate,81,02,2021,2195510,132540,28661,946,14800,3271,197,16.56,2018-12-07,92
702,Super Smash Bros. Ultimate,66,03,2021,3327446,165987,47370,1731,19143,4478,223,20.05,2018-12-07,92
703,Super Smash Bros. Ultimate,82,04,2021,2755980,137380,57438,460,14923,3833,191,20.06,2018-12-07,92
704,Super Smash Bros. Ultimate,74,05,2021,3076556,132283,48839,434,14388,4140,178,23.26,2018-12-07,92
705,Super Smash Bros. Ultimate,75,06,2021,2806439,122918,42007,1297,14544,3903,170,22.83,2018-12-07,92
706,Super Smash Bros. Ultimate,89,07,2021,2203930,118354,27408,485,14504,2966,159,18.62,2018-12-07,92
707,Super Smash Bros. Ultimate,56,08,2021,4760960,105643,104514,334,12455,6407,142,45.07,2018-12-07,92
708,Super Smash Bros. Ultimate,63,09,2021,3636507,100594,84812,469,11924,5057,139,36.15,2018-12-07,92
709,The Last of Us Part II,12,06,2020,29527085,491159,508463,5893,68587,41066,683,60.12,2020-06-19,93
710,The Last of Us Part II,57,07,2020,3435115,189335,30007,942,31673,4623,254,18.14,2020-06-19,93
711,The Last of Us Part II,155,08,2020,771577,55019,16646,176,10871,1038,74,14.02,2020-06-19,93
712,The Last of Us Part II,195,09,2020,536782,37757,4036,135,6833,746,52,14.22,2020-06-19,93
713,The Last of Us Part II,186,05,2021,866804,69692,44425,203,7432,1166,93,12.44,2020-06-19,93
714,The Legend of Zelda: Breath of the Wild,7,03,2017,14298988,233071,148409,1408,11788,19244,313,61.35,2017-03-03,96
715,The Legend of Zelda: Breath of the Wild,36,04,2017,1815216,58134,18123,210,4928,2524,80,31.22,2017-03-03,96
716,The Legend of Zelda: Breath of the Wild,57,05,2017,861775,34613,14500,105,3737,1159,46,24.9,2017-03-03,96
717,The Legend of Zelda: Breath of the Wild,69,06,2017,685139,29321,8703,200,3270,952,40,23.37,2017-03-03,96
718,The Legend of Zelda: Breath of the Wild,56,07,2017,1199068,40991,188399,199,4432,1613,55,29.25,2017-03-03,96
719,The Legend of Zelda: Breath of the Wild,112,08,2017,418246,26357,5890,75,2711,562,35,15.87,2017-03-03,96
720,The Legend of Zelda: Breath of the Wild,76,09,2017,635923,21851,31713,71,2373,884,30,29.1,2017-03-03,96
721,The Legend of Zelda: Breath of the Wild,116,10,2017,339551,20160,3104,61,2234,457,27,16.84,2017-03-03,96
722,The Legend of Zelda: Breath of the Wild,138,11,2017,277869,18589,5014,57,2073,386,25,14.95,2017-03-03,96
723,The Legend of Zelda: Breath of the Wild,59,12,2017,1140005,40939,39020,245,4541,1534,55,27.85,2017-03-03,96
724,The Legend of Zelda: Breath of the Wild,45,01,2018,1822513,43692,191576,125,4401,2452,58,41.71,2017-03-03,96
725,The Legend of Zelda: Breath of the Wild,72,02,2018,721222,35877,6330,95,3371,1074,53,20.1,2017-03-03,96
726,The Legend of Zelda: Breath of the Wild,84,03,2018,725860,33859,8344,89,3439,976,45,21.44,2017-03-03,96
727,The Legend of Zelda: Breath of the Wild,70,04,2018,856876,29936,10239,78,2910,1191,41,28.62,2017-03-03,96
728,The Legend of Zelda: Breath of the Wild,109,05,2018,514230,26288,4440,74,2650,692,35,19.56,2017-03-03,96
729,The Legend of Zelda: Breath of the Wild,158,06,2018,346015,23436,3677,63,2601,481,32,14.76,2017-03-03,96
730,The Legend of Zelda: Breath of the Wild,93,07,2018,774634,25399,14228,69,2797,1042,34,30.5,2017-03-03,96
731,The Legend of Zelda: Breath of the Wild,113,08,2018,531082,24624,8656,72,2557,714,33,21.57,2017-03-03,96
732,The Legend of Zelda: Breath of the Wild,128,09,2018,440777,21597,15213,67,2346,613,30,20.41,2017-03-03,96
733,The Legend of Zelda: Breath of the Wild,151,10,2018,347904,20022,7521,54,2219,468,26,17.38,2017-03-03,96
734,The Legend of Zelda: Breath of the Wild,154,11,2018,355614,22300,4626,64,2561,494,31,15.95,2017-03-03,96
735,The Legend of Zelda: Breath of the Wild,114,12,2018,604695,26620,7724,84,3131,813,35,22.72,2017-03-03,96
736,The Legend of Zelda: Breath of the Wild,75,01,2019,1223545,42948,23728,114,4150,1646,57,28.49,2017-03-03,96
737,The Legend of Zelda: Breath of the Wild,113,02,2019,595445,30919,7383,100,3087,887,46,19.26,2017-03-03,96
738,The Legend of Zelda: Breath of the Wild,92,03,2019,838446,38894,13351,112,3830,1128,52,21.56,2017-03-03,96
739,The Legend of Zelda: Breath of the Wild,130,04,2019,535217,31120,10789,87,3215,744,43,17.2,2017-03-03,96
740,The Legend of Zelda: Breath of the Wild,134,05,2019,525579,29866,7183,77,3136,707,40,17.6,2017-03-03,96
741,The Legend of Zelda: Breath of the Wild,89,06,2019,957285,43513,134763,154,4841,1331,60,22,2017-03-03,96
742,The Legend of Zelda: Breath of the Wild,86,07,2019,798688,42033,19599,113,4250,1074,56,19,2017-03-03,96
743,The Legend of Zelda: Breath of the Wild,113,08,2019,525634,35802,5405,99,3513,707,48,14.68,2017-03-03,96
744,The Legend of Zelda: Breath of the Wild,123,09,2019,478589,26448,63594,78,2897,665,36,18.1,2017-03-03,96
745,The Legend of Zelda: Breath of the Wild,142,10,2019,421853,25010,7977,73,2581,567,33,16.87,2017-03-03,96
746,The Legend of Zelda: Breath of the Wild,140,11,2019,404895,21175,8986,63,2417,563,29,19.12,2017-03-03,96
747,The Legend of Zelda: Breath of the Wild,74,12,2019,1319520,27713,19758,79,2797,1775,37,47.61,2017-03-03,96
748,The Legend of Zelda: Breath of the Wild,122,01,2020,708584,38372,21242,96,3717,953,51,18.47,2017-03-03,96
749,The Legend of Zelda: Breath of the Wild,90,02,2020,963652,37557,17728,115,3791,1386,54,25.66,2017-03-03,96
750,The Legend of Zelda: Breath of the Wild,83,03,2020,1292601,45662,15856,135,4781,1739,61,28.31,2017-03-03,96
751,The Legend of Zelda: Breath of the Wild,63,04,2020,2247183,51479,17375,122,4370,3125,71,43.65,2017-03-03,96
752,The Legend of Zelda: Breath of the Wild,82,05,2020,2006344,60070,27416,151,5193,2700,80,33.4,2017-03-03,96
753,The Legend of Zelda: Breath of the Wild,88,06,2020,1447766,55687,21415,146,5128,2013,77,26,2017-03-03,96
754,The Legend of Zelda: Breath of the Wild,107,07,2020,1270040,57887,17644,138,5348,1709,77,21.94,2017-03-03,96
755,The Legend of Zelda: Breath of the Wild,113,08,2020,1148035,54416,100489,135,5273,1545,73,21.1,2017-03-03,96
756,The Legend of Zelda: Breath of the Wild,126,09,2020,996122,59354,6229,162,6024,1385,82,16.78,2017-03-03,96
757,The Legend of Zelda: Breath of the Wild,128,10,2020,985418,51300,19799,152,5132,1326,69,19.21,2017-03-03,96
758,The Legend of Zelda: Breath of the Wild,139,11,2020,954697,58117,15699,166,5612,1327,80,16.43,2017-03-03,96
759,The Legend of Zelda: Breath of the Wild,136,12,2020,1014975,56336,55161,161,5636,1366,75,18.02,2017-03-03,96
760,The Legend of Zelda: Breath of the Wild,102,01,2021,1597038,76422,50615,185,7188,2149,102,20.9,2017-03-03,96
761,The Legend of Zelda: Breath of the Wild,70,02,2021,2726005,76021,32253,217,7761,4062,113,35.86,2017-03-03,96
762,The Legend of Zelda: Breath of the Wild,107,03,2021,1811429,93397,14945,254,9115,2437,125,19.39,2017-03-03,96
763,The Legend of Zelda: Breath of the Wild,94,04,2021,2223515,79537,40813,195,7756,3092,110,27.96,2017-03-03,96
764,The Legend of Zelda: Breath of the Wild,142,05,2021,1166514,70545,31793,188,7238,1570,94,16.54,2017-03-03,96
765,The Legend of Zelda: Breath of the Wild,130,06,2021,1250539,78549,9803,212,8417,1739,109,15.92,2017-03-03,96
766,The Legend of Zelda: Breath of the Wild,129,07,2021,1318638,73406,85533,207,7694,1774,98,17.96,2017-03-03,96
767,The Legend of Zelda: Breath of the Wild,97,08,2021,2392911,64932,31468,149,6504,3220,87,36.85,2017-03-03,96
768,The Legend of Zelda: Breath of the Wild,141,09,2021,1094339,56803,7996,150,5702,1522,79,19.27,2017-03-03,96
769,Uncharted 4: A Thief's End,15,05,2016,4556066,140927,102374,739,39491,6131,189,32.33,2016-05-10,93
770,Uncharted 4: A Thief's End,45,06,2016,934746,72127,17791,258,13962,1300,100,12.96,2016-05-10,93
771,Uncharted 4: A Thief's End,114,07,2016,300906,48282,8809,133,9159,404,64,6.23,2016-05-10,93
772,Uncharted 4: A Thief's End,156,08,2016,153183,35352,5388,91,6523,206,47,4.33,2016-05-10,93
773,Uncharted 4: A Thief's End,134,09,2016,158572,27218,4930,77,5420,220,37,5.83,2016-05-10,93
774,Uncharted 4: A Thief's End,139,12,2016,232933,35292,4557,124,1125,313,47,6.6,2016-05-10,93
775,Uncharted 4: A Thief's End,192,04,2017,129993,21675,1665,65,3110,180,30,6,2016-05-10,93
776,Uncharted 4: A Thief's End,171,06,2017,166236,20712,6514,63,4261,231,28,8.03,2016-05-10,93
777,Uncharted 4: A Thief's End,157,08,2017,234356,20074,11747,60,3796,315,27,11.67,2016-05-10,93
778,What Remains of Edith Finch,186,04,2017,134691,769,45323,26,271,187,1,175.15,2017-04-25,88
779,What Remains of Edith Finch,125,05,2017,280354,2395,15557,16,1066,377,3,117.06,2017-04-25,88
